,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
192,Hutan,1,-0.25896724,-0.25608793,-0.242854483,,-0.552477831,-0.207875176,-0.277434613,,,-0.235817751,-0.243069165,,,-0.190905792,-0.210689964,-0.333763033,,-0.221586814,-0.2602448,-0.272229813,,-0.198643288,-0.248826534,-0.277948472,,-0.239956573,-0.237051762,-0.416139566,,-0.278112914,-0.22891657,,,,-0.235619993,,,-0.247962996,-0.239116676
139,Hutan,1,-0.315156457,-0.238365746,-0.227707192,,,-0.211589354,-0.246805455,-0.285109179,-0.260135637,-0.2308157,-0.221678344,-0.370746234,,-0.245284454,-0.237088022,-0.305106091,,-0.253925696,-0.227898196,-0.341588605,,-0.246612879,-0.249807936,-0.282056052,,-0.256126738,-0.227072854,-0.407596397,-0.31363617,-0.207817556,-0.303476827,,-0.316317407,-0.294459825,-0.285313048,-0.343435246,,-0.258286967,-0.230388339
27,Hutan,1,,-0.2794698,-0.287821419,-0.283828304,-0.289775837,-0.212576687,-0.226451412,-0.254671815,,-0.208668324,-0.225461394,-0.279396038,-0.202733551,-0.250630361,-0.257417947,-0.247370105,,-0.199448445,-0.240416748,-0.237565906,,-0.198808663,-0.202572098,-0.22164872,,-0.204757417,-0.204649197,-0.258623691,,-0.219650929,-0.278671395,,,,-0.203927364,,-0.198872427,-0.240750134,-0.204510213
133,Hutan,1,-0.303412867,-0.262495983,-0.316192222,,,-0.224949252,-0.254963754,-0.256839143,,-0.237689044,,,-0.346523649,-0.566996335,-0.283226105,,,-0.210311603,-0.257690882,-0.28759565,,,-0.218048723,-0.242842123,,-0.274634482,-0.257021174,-0.439668521,,-0.291625125,-0.27308185,,,,-0.247553666,,,-0.257220138,-0.242120265
72,Hutan,1,,-0.25847104,-0.223814801,,-0.323929736,-0.226094907,-0.218745032,-0.229061009,-0.367757402,-0.235541807,-0.256657525,,-0.263180571,-0.246068863,-0.19952971,-0.266350006,,-0.257829643,-0.198720006,-0.245799636,,-0.270745697,-0.238095463,-0.235326041,-0.282590806,-0.260699886,-0.278563579,-0.306392725,,-0.276996601,-0.247625035,-0.253305725,-0.348843408,-0.385803253,-0.236492687,,-0.309871229,-0.277202757,-0.252034035
196,Hutan,1,-0.273308642,-0.260824379,-0.259448614,,-0.503324951,-0.227822752,-0.249870262,,,,-0.224682641,,,-0.526336637,-0.224099011,,-0.272025326,-0.236150699,-0.261916871,-0.286511225,,-0.227639634,-0.223164764,,,-0.228053708,-0.28399739,-0.313942429,,-0.255453671,-0.256762546,,,,-0.239348482,,-0.264181804,,-0.259842729
118,Hutan,1,,-0.28640581,-0.2702934,,-0.514846062,-0.230037047,-0.258538867,-0.286426971,-0.358647006,,-0.276099914,-0.310944416,-0.28650937,-0.236332815,-0.310601749,-0.371869345,-0.317856388,-0.258792852,-0.273802703,-0.317751369,,-0.219448183,-0.224260067,-0.284445211,-0.246219425,-0.223777883,-0.243901537,-0.427368075,,-0.23908188,-0.269138716,,-0.309682761,,-0.262228033,,-0.329183737,-0.256301481,-0.247046516
151,Hutan,1,-0.294153212,-0.25977709,-0.28449539,,-0.315914393,-0.230927398,-0.056508043,-0.049810022,-0.342938736,,-0.297328251,,-0.33126868,-0.326053237,-0.246615844,-0.270143696,,-0.323117056,-0.077444525,-0.166666245,,-0.266083153,-0.090343879,-0.014070427,-0.271077238,-0.30761917,-0.146764176,-0.257677323,,-0.244836677,-0.257221132,-0.199450192,-0.368694023,-0.293952758,-0.285827592,,-0.315471533,-0.269595605,-0.21833239
134,Hutan,1,,-0.258341555,-0.273471613,,,-0.232441471,-0.241109955,-0.328902747,-0.366231497,-0.220902479,,,-0.242234913,-0.462168233,-0.266167476,,,-0.2466507,-0.249185612,-0.369815527,,-0.228910793,-0.255040355,-0.279359481,-0.30010229,-0.294912272,-0.270482167,-0.528483733,,-0.343661769,-0.267585357,-0.304175138,,,-0.229993539,,,-0.25193803,-0.274818344
34,Hutan,1,-0.264904377,-0.275357245,-0.262123614,-0.305229261,-0.276290268,-0.232971835,-0.274907217,-0.264420854,-0.261465012,-0.253032689,-0.237283944,,-0.231407102,-0.223228696,-0.240159401,-0.289522885,-0.294933367,-0.240884189,-0.238294147,-0.254626835,,-0.191108424,-0.210383947,-0.222323375,-0.278232371,-0.209986464,-0.225858942,-0.485729776,,-0.207423676,-0.201990631,-0.254635705,-0.261143391,,-0.225439392,,-0.289520212,-0.250111691,-0.23882334
78,Hutan,1,,-0.263758373,-0.248674109,,-0.294946081,-0.237104934,-0.22479207,-0.260920735,-0.309622085,-0.23619459,-0.260077175,,-0.268397134,-0.260083409,-0.276912933,-0.28907205,,-0.250412261,-0.254506772,-0.25383437,,-0.237452632,-0.23617169,-0.253687787,-0.275921565,-0.252604742,-0.290802239,-0.32499969,,-0.258502147,-0.271793428,-0.321061125,,-0.312844551,-0.284503079,,-0.315879848,-0.269017045,-0.295820462
204,Hutan,1,-0.284621292,-0.261915215,-0.245251066,-0.272519964,-0.504945283,-0.237987317,-0.244182595,-0.27797946,-0.315491499,-0.239890666,-0.251220573,-0.287816979,-0.263889297,-0.237606151,-0.257395344,-0.268876795,,-0.247476367,-0.245077079,-0.253669274,,-0.22637398,-0.231554682,-0.261901719,-0.279039517,-0.262853728,-0.261146697,-0.304436163,,-0.249858116,-0.251782964,-0.293315217,-0.305668638,,-0.255041661,,-0.300165473,-0.281471073,-0.272349618
206,Hutan,1,-0.252891823,,-0.257863365,,-0.470941505,-0.238018426,-0.272082385,,,-0.22765683,-0.231793176,,-0.311668157,-0.623507957,-0.269169601,-0.124778861,-0.288530427,-0.279596044,-0.259191119,-0.275788656,,-0.287256815,-0.268067881,-0.261517428,,-0.264840678,-0.305384853,-0.215928301,-0.289614413,-0.285862913,-0.277156066,,-0.262355849,,-0.265351232,,,-0.321584487,-0.27480822
100,Hutan,1,-0.346673554,-0.297142015,-0.269198794,-0.377037779,-0.335993495,-0.238914206,-0.251098257,-0.305336217,-0.359399602,-0.251750152,-0.277243431,,,-0.297477066,-0.287308288,-0.365426894,,-0.270326723,-0.269726609,-0.38340471,,-0.26813846,-0.265470178,-0.305864671,-0.372231537,-0.27128513,-0.28242804,-0.436005245,-0.370878941,-0.257131414,-0.294310402,,,,-0.281570992,-0.351554481,-0.356390407,-0.281740896,-0.285244898
225,Hutan,1,,-0.233384187,-0.224286698,-0.350258106,-0.256688188,-0.239376631,-0.261696569,-0.270287609,-0.232731061,-0.222409311,-0.225870903,-0.256304962,-0.178464106,-0.506548242,-0.221668383,-0.315618655,-0.229507782,-0.224389898,-0.220024003,-0.238175086,,-0.251957817,-0.241906267,-0.27695043,-0.260584443,-0.216785831,-0.242560123,,,-0.249142076,-0.244602481,,-0.267914654,,-0.258422464,-0.317951556,-0.28440614,-0.247595401,-0.251480049
