,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
10,Hutan,1,0.003628918,0.000703427,-0.002807265,-0.003917703,0.132091525,-0.003791082,-0.002051609,-0.00306083,,-0.003734714,-0.006502308,,-0.006096813,-0.001399961,-0.002365619,-0.00505408,-0.001962929,-0.006258249,-0.004070966,-0.006868678,,-0.009467093,-0.006912343,-0.006797359,,0.001099576,-0.004924172,0.099357912,,-0.003319166,-0.004096219,,-0.002430871,,-0.004999928,,,-0.007010596,-0.00630071
11,Hutan,1,,0.002600185,-0.004458019,-0.009325549,0.034229182,-0.002288894,-0.014420522,-0.005240278,-0.005808615,0.004522561,-0.008209905,-0.030353833,-0.016593784,0.002091131,-0.000989007,-0.010237143,,-0.00561974,-0.00283518,-0.010676453,,-0.009287085,-0.004326244,-0.014053414,,-0.003858628,-0.005286555,0.099667423,,-0.000130491,-0.002073019,,,,-0.002947599,,,-0.005306242,-0.00784749
12,Hutan,1,,0.000554061,-0.002948793,-0.004021892,0.048010089,-0.001224472,-0.007029556,-0.01329327,-0.016294867,,-0.006544797,,-0.011067998,-0.005483065,-0.007241809,-0.006282227,,-0.008956503,-0.005207935,-0.010334934,,-0.008330208,-0.010078489,-0.010116375,,-0.008922039,-0.00991969,-0.025802291,-0.009248677,-0.007324811,-0.004224895,,-0.004561798,,-0.005641492,,,-0.004798471,-0.009875865
13,Hutan,1,0.001089513,-0.010569875,-0.009647286,,-0.013380187,-0.016181906,-0.012178995,-0.019220193,-0.010008116,,-0.016441273,,-0.012674003,0.22017546,-0.017972448,-0.006603739,,-0.0151039,-0.007620998,-0.010911594,,-0.020606874,-0.012048778,-0.011664433,,-0.022748906,-0.013370185,0.019710878,,-0.014010086,-0.010824553,,-0.006042116,,-0.015129013,,,-0.012450009,-0.012448605
14,Hutan,1,,-0.006222046,-0.011026431,,0.005863117,-0.006905491,-0.013793346,-0.013514168,-0.003224823,-0.016057844,-0.01396338,-0.027918704,-0.018426106,-0.012125248,-0.014158111,-0.010994642,,-0.006720521,-0.009568,-0.010379932,,-0.011125439,-0.012040657,-0.011071456,,-0.008258258,-0.009551802,0.022203526,,-0.007191611,-0.00707429,,-0.026964277,,-0.012925448,,,-0.010490894,-0.013212148
15,Hutan,1,,-0.020920725,-0.023199226,-0.020452111,0.119342325,-0.015463859,,-0.024127227,,-0.060870409,-0.020759547,-0.018651763,-0.022228278,-0.018534302,-0.016482588,-0.012895591,-0.018291667,-0.018773671,-0.001342975,-0.018835827,,-0.018458652,-0.010303617,-0.014349892,,-0.015160789,-0.017161229,0.042688922,-0.01903167,-0.020822535,-0.011745117,,,,-0.0139917,,,-0.011457395,-0.017766959
16,Hutan,1,,-0.023969133,-0.025922484,-0.024088075,0.030589768,-0.01851629,-0.03401871,-0.024787302,-0.037355132,-0.032301853,-0.027151013,-0.029190039,,-0.017048555,-0.022190101,-0.018463316,-0.019998492,-0.026190152,-0.004750527,-0.022471601,,-0.019840988,-0.018781909,-0.021022825,,-0.015879168,-0.018168752,-0.021309287,-0.030584247,-0.01988986,-0.016679243,,,,-0.019619149,,,-0.017675065,-0.00996405
17,Hutan,1,,-0.02422753,-0.02036142,,-0.015093536,-0.026307422,-0.023406114,-0.023835688,-0.016785588,,-0.025454075,-0.021753341,-0.042271303,-0.027166185,-0.054476647,-0.014174937,-0.028906884,-0.029603939,-0.025195818,-0.018663174,,-0.033805042,-0.024302505,-0.020016425,,-0.031081905,-0.030791764,-0.016179896,-0.01974562,-0.032329431,-0.024126805,,,,-0.030068186,,,-0.028768999,-0.029195327
18,Hutan,1,,-0.018784943,-0.02686667,-0.034503813,0.012252979,-0.013897108,-0.025199981,-0.031987992,-0.022834299,,-0.024533367,-0.03020595,-0.039490713,-0.019669736,-0.022703725,0.005270786,-0.026796369,-0.023580966,-0.020806585,-0.027760763,,-0.021357388,-0.024238357,-0.044096391,,-0.021593084,-0.019652699,-0.019773401,-0.030620663,-0.018696707,-0.009259691,,,-0.031013577,-0.015882183,,,-0.011055805,-0.011986878
19,Hutan,1,,-0.025369884,-0.016666431,,0.084607829,-0.02104282,,-0.016732666,-0.011485047,,-0.019597189,-0.017390804,-0.026082506,-0.015939113,-0.01696521,0.006801536,-0.014030174,-0.017375596,-0.022796038,-0.014933949,,-0.020578546,-0.01560222,-0.014618596,,-0.021079681,-0.015694634,-0.013565339,-0.032523405,-0.017950872,-0.017552377,,,,-0.020247254,,,-0.014780368,-0.017681297
