Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9183553.354,374964.3892,0.21502,0.20549,0.20472,0.35501,0.20219,0.24579,0.24638,0.20813,0.29118,0.22324,0.19878,0.215,0.20048,0.26591,0.2991,0.19723,0.14902,0.16129,nan,0.16225,0.16597,0.14533,nan,0.19061,0.17583,0.15708,0.15939,0.16378,0.16378,0.19999,0.17616,0.21959,0.22183,0.21482,nan,0.23111,0.24455,0.25491
1,9164885.088,369141.4716,0.61493,0.51134,0.45265,0.51332,0.54335,0.54492,0.47353,0.37575,0.41469,0.42252,0.39482,0.52471,0.49519,0.4433,nan,0.31351,0.42151,0.44547,0.44038,0.30084,0.5006,0.36829,0.40252,0.47493,0.46266,0.34976,0.39227,0.40781,0.40781,0.45584,0.46395,0.48563,0.49452,0.45248,0.46567,0.46123,0.49572,0.53602
1,9193094.815,371993.998,0.19763,0.2114,0.19724,0.35238,0.38191,0.21721,0.26267,0.25161,0.24429,0.25584,0.26154,0.29837,0.3614,nan,0.33941,0.28338,0.23082,0.25663,nan,0.24543,0.27615,0.25339,nan,0.26957,0.31947,0.22639,0.22639,0.28018,0.28018,0.25937,0.21435,nan,0.3114,0.31074,nan,0.33359,0.30772,nan
1,9191346.432,379208.1186,0.30478,0.30868,0.25432,0.42062,0.42672,0.23415,0.32708,0.27847,0.23862,0.24056,0.31069,0.3352,0.28663,nan,0.3039,0.31758,0.28817,0.24555,0.28696,0.15253,0.24146,0.1852,0.45985,0.19861,0.3003,0.18086,0.20036,0.22789,0.22789,0.20569,0.15073,nan,0.28714,0.23381,nan,0.23233,nan,0.3539
1,9192098.783,380065.903,0.56933,0.51292,0.52464,0.54687,0.57191,0.58896,0.45622,0.53391,0.38614,0.46405,0.56062,0.60385,0.69495,0.51209,0.49487,0.17317,0.52972,0.57664,nan,0.57624,0.51283,0.43005,nan,0.46972,0.46855,0.46361,0.46118,0.54432,0.54432,0.52129,0.5308,nan,0.37694,0.50767,nan,0.52392,0.45901,0.48115
1,9191662.666,380028.9027,0.45703,0.41129,0.38997,0.47342,0.49604,0.50494,0.50023,0.4682,0.44655,0.48145,0.57561,0.57509,0.54442,0.56538,0.44691,0.136,0.45501,0.49661,nan,0.54962,0.50931,0.455,nan,0.47384,0.41265,0.38474,0.39392,0.44886,0.44886,0.54553,0.37684,nan,0.46033,0.45498,nan,0.54067,0.53037,0.87449
1,9175479.088,382707.3956,0.4638,0.36247,0.32665,0.43853,0.41841,0.40511,0.37643,0.4504,0.4311,0.37717,0.35783,0.44966,0.49934,0.49374,nan,0.4604,0.46878,0.39685,0.38081,0.54031,0.46202,0.33247,nan,0.58834,0.49132,0.36184,0.37964,0.48158,0.48158,0.44681,0.5042,2.2141,0.45282,0.44629,0.52857,0.54466,nan,0.52486
1,9182926.792,383058.5359,0.41265,0.42093,0.36975,0.4344,0.46292,0.4138,0.40077,0.42469,0.46639,0.39211,0.35907,0.45321,0.26602,nan,0.38179,0.33344,0.34484,0.34476,0.28402,0.37137,0.35898,0.32039,nan,0.37693,0.38265,0.31742,0.32136,0.38404,0.38404,0.38947,0.42983,0.44625,0.42107,0.38602,0.43227,0.4079,0.4078,0.32971
1,9183897.92,384641.7366,0.33158,0.24808,0.15518,0.22635,0.16538,0.1945,0.23337,0.18003,0.23151,0.18395,0.20422,0.26438,0.30025,0.17232,0.28673,0.13919,0.16537,0.20431,0.17007,0.18155,0.17637,0.1617,nan,0.26524,0.27262,0.24362,0.2363,0.27222,0.27222,nan,nan,0.24371,nan,0.2336,0.30501,0.29415,0.36662,0.26538
1,9187362.201,383204.6557,0.48893,0.39583,0.48911,0.55037,0.51997,0.51436,0.51954,0.2281,0.44192,0.38885,0.43345,0.44333,0.48691,nan,0.35212,0.17705,0.50381,0.46993,0.43091,0.56932,0.48496,0.51481,0.5625,0.57492,0.54984,0.45267,0.436,0.52415,0.52415,nan,0.43752,nan,0.82059,0.49438,nan,0.51459,0.51237,0.56974
