Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9183553.354,374964.3892,0.07706,0.08166,0.08437,0.15173,0.07186,0.08884,0.09551,0.07786,0.13408,0.08176,0.07784,0.08737,0.08156,0.08348,0.17607,0.09328,0.05608,0.06688,nan,0.06597,0.07543,0.06522,nan,0.07588,0.07269,0.06316,0.06463,0.0617,0.0617,0.08357,0.06887,0.08933,0.08759,0.08472,nan,0.09169,0.09188,0.09392
1,9164885.088,369141.4716,0.27288,0.25145,0.24276,0.27165,0.26024,0.27187,0.23536,0.2083,0.20138,0.2086,0.23618,0.27609,0.23697,0.22511,nan,0.21894,0.19715,0.21922,0.235,0.14761,0.24039,0.18164,0.22081,0.24084,0.20606,0.1629,0.20775,0.18769,0.18769,0.22245,0.25658,0.247,0.23279,0.21147,0.25228,0.23254,0.2459,0.24341
1,9193094.815,371993.998,0.06889,0.07992,0.07519,0.14713,0.15568,0.07205,0.09381,0.06801,0.06653,0.08779,0.0905,0.10488,0.14566,nan,0.15173,0.09922,0.06899,0.08416,nan,0.07758,0.08583,0.08779,nan,0.08564,0.1071,0.07338,0.07338,0.08401,0.08401,0.08644,0.06277,nan,0.12538,0.10908,nan,0.11157,0.09861,nan
1,9191346.432,379208.1186,0.08667,0.08922,0.09028,0.16136,0.17111,0.06822,0.12283,0.09196,0.07078,0.07909,0.12778,0.11842,0.08866,nan,0.10579,0.13137,0.08516,0.08264,0.10083,0.06476,0.08847,0.07496,0.32922,0.07642,0.13079,0.069,0.07837,0.07201,0.07201,0.07767,0.0548,nan,0.11715,0.07895,nan,0.08373,nan,0.12404
1,9192098.783,380065.903,0.25341,0.25145,0.22091,0.2991,0.29887,0.26037,0.22765,0.26719,0.14914,0.21177,0.29872,0.33723,0.19332,0.27594,0.27033,0.14825,0.25062,0.2752,nan,0.2651,0.23013,0.19577,nan,0.21481,0.21534,0.21004,0.20992,0.25953,0.25953,0.2454,0.28392,nan,0.16598,0.21791,nan,0.22157,0.21602,0.23285
1,9191662.666,380028.9027,0.14763,0.16071,0.1529,0.22867,0.2152,0.14905,0.20782,0.14379,0.14595,0.18382,0.20683,0.21096,0.19412,0.24838,0.14912,0.11107,0.13773,0.16496,nan,0.1852,0.15622,0.14126,nan,0.1396,0.17888,0.12658,0.13213,0.13266,0.13266,0.19819,0.12047,nan,0.22706,0.16438,nan,0.21305,0.20409,0.32502
1,9175479.088,382707.3956,0.18505,0.17153,0.13253,0.20278,0.17461,0.18181,0.19519,0.19626,0.18668,0.17946,0.17252,0.20854,0.2223,0.23203,nan,0.24249,0.20793,0.17827,0.21321,0.28449,0.19149,0.15328,nan,0.28842,0.20838,0.15387,0.175,0.21463,0.21463,0.21648,0.26156,0.24456,0.21312,0.19425,0.25325,0.26661,nan,0.22087
1,9182926.792,383058.5359,0.20615,0.18227,0.16987,0.18558,0.17325,0.16245,0.18169,0.17871,0.1803,0.15396,0.16303,0.19727,0.1136,nan,0.18853,0.15835,0.13927,0.1438,0.14042,0.16227,0.14888,0.13317,nan,0.1619,0.1502,0.13428,0.14101,0.15526,0.15526,0.17314,0.19845,0.16412,0.1776,0.16184,0.22124,0.18479,0.18183,0.14217
1,9183897.92,384641.7366,0.17194,0.1138,0.06724,0.11101,0.05755,0.07306,0.10158,0.06622,0.09353,0.0695,0.07947,0.12008,0.08365,0.07103,0.12403,0.1182,0.0633,0.07957,0.0825,0.06967,0.07337,0.07071,nan,0.11986,0.11711,0.10313,0.10259,0.12167,0.12167,nan,nan,0.11342,nan,0.10052,0.16509,0.13434,0.21794,0.10956
1,9187362.201,383204.6557,0.19388,0.18488,0.25818,0.30448,0.23096,0.23671,0.25551,0.17483,0.17528,0.17206,0.19628,0.21098,0.17616,nan,0.25361,0.1439,0.19675,0.18368,0.19721,0.14723,0.18782,0.21373,0.29629,0.24534,0.22518,0.18294,0.17782,0.20473,0.20473,nan,0.2724,nan,0.36165,0.204,nan,0.23607,0.21283,0.24816
1,9187186.203,382974.8529,0.15659,0.14618,0.16658,0.2479,0.09802,0.07836,0.13945,0.11647,0.1061,0.10435,0.10999,0.17041,0.11829,nan,0.13873,0.1052,0.08264,0.09481,nan,nan,0.08087,0.08903,nan,0.09244,0.06507,0.07462,0.07462,0.09317,0.09317,0.1024,0.09417,nan,nan,0.08652,nan,0.09141,0.11134,nan
1,9184026.447,391092.3181,0.21286,0.26857,0.26444,0.31217,0.28282,0.25068,0.27355,0.24741,0.20133,0.28417,0.30949,0.38484,0.31152,0.28314,0.32264,0.2229,0.25307,0.28165,nan,nan,0.21388,0.2042,nan,0.26907,0.27721,0.21726,0.21726,0.22828,0.22828,0.28669,nan,nan,nan,0.21076,0.29144,0.20555,nan,0.233
1,9191123.762,379868.6626,0.16415,0.13055,0.1834,0.24214,0.22354,0.13133,0.17976,0.17444,0.16311,0.12497,0.1917,0.17546,0.08259,nan,0.26018,0.13099,0.15728,0.1644,0.17241,0.14846,0.16875,0.14207,0.1604,0.15297,0.15917,0.09462,0.1186,0.18561,0.18561,0.18671,0.15935,0.28052,0.22646,0.1742,nan,0.18156,0.19376,0.18601
1,9191415.388,379865.3711,0.15773,0.15016,0.15416,0.19048,0.20806,0.13044,0.16715,0.16685,0.11791,0.13649,0.16179,0.15724,0.18829,nan,0.18651,0.12444,0.11561,0.11688,0.1464,0.13085,0.11381,0.10537,0.24356,0.1108,0.08846,0.09331,0.10644,0.12525,0.12525,0.11681,0.10359,0.13434,0.24918,0.1144,nan,0.12744,nan,nan
1,9185852.398,381344.2854,0.06408,0.08075,0.05791,0.09352,0.05913,0.09208,0.09681,0.06566,0.0791,0.07704,0.08116,0.08866,nan,0.24311,0.13074,0.13253,0.07599,0.10451,0.09354,0.0759,0.09272,0.06998,0.08032,0.05142,0.07859,0.05875,0.05939,0.06069,0.06069,0.09896,nan,0.08666,nan,0.06859,nan,0.09481,0.09499,0.07834
1,9185592.21,381685.4112,0.30566,0.37718,0.24479,0.35286,0.2566,0.31308,0.26553,0.2618,0.27071,0.23062,0.23507,0.29799,0.29533,0.27685,nan,0.14531,0.23313,0.23944,0.27358,0.19876,0.25763,0.23856,nan,0.24882,0.2218,0.19632,0.19797,0.21194,0.21194,0.30519,0.27395,0.23085,nan,0.18602,nan,0.21427,0.23243,0.2014
1,9186824.597,377802.1105,0.09169,0.09183,0.06696,0.2458,0.0844,0.07981,0.10518,0.07877,0.09437,0.09443,0.11079,0.11337,0.12139,nan,0.13843,0.10284,0.07835,0.09937,0.10166,0.10212,0.08814,0.07556,nan,0.08449,0.08032,0.06662,0.06565,0.082,0.082,0.09751,0.06581,0.13726,0.11222,0.10006,nan,0.10505,0.10703,0.10362
1,9179763.36,381542.9217,0.08911,0.105,0.07208,0.21075,0.09155,0.09539,0.10544,0.09312,0.12402,0.09493,0.11105,0.13465,nan,0.12986,0.15584,0.11538,0.08972,0.10503,0.11263,0.10518,0.09319,0.08824,0.10193,0.10367,0.10771,0.08415,0.06874,0.09722,0.09722,0.13128,0.13553,0.11714,nan,0.10367,0.14792,0.11515,0.12435,0.09765
1,9195897.637,385920.7121,0.07451,0.06382,0.07958,0.06813,nan,0.06452,0.06149,0.06438,0.07366,0.0545,0.05466,0.0676,0.08361,nan,nan,nan,0.07098,0.09475,nan,nan,0.09709,0.05512,0.07437,0.04007,0.04381,0.04468,0.04855,0.05979,0.05979,0.05306,0.08118,0.219,nan,0.07524,nan,0.08338,0.20354,nan
1,9163411.133,390525.2549,0.18898,0.16896,0.15961,0.23482,0.2275,0.2176,0.18184,0.18947,0.2025,0.16301,0.19385,0.21506,0.16497,0.17998,nan,0.20023,0.19981,0.1641,0.1627,0.16633,0.16483,0.16088,0.15649,0.17964,0.16433,0.1452,0.14736,0.16531,0.16531,0.15641,0.21144,0.17675,0.16503,0.14825,0.20082,0.17263,0.17974,0.16824
1,9162150.559,390248.9836,0.31692,0.22133,0.21982,0.21357,0.33564,0.28267,0.21868,0.33414,0.31943,0.25486,0.20928,0.35102,0.37558,0.35383,nan,0.10652,0.27539,0.29719,nan,0.3353,0.33469,0.28277,nan,0.32434,0.28839,0.23181,0.24295,0.37185,0.37185,0.35724,0.31852,0.31591,0.33923,0.30654,0.3089,0.30012,nan,0.30768
1,9187675.687,392377.7597,0.17254,0.15665,0.15697,0.23355,0.1688,0.16799,0.16591,0.19253,0.17025,0.14583,0.17613,0.21574,nan,0.17212,0.28897,0.16731,0.16565,0.18698,nan,0.13882,0.10446,0.13718,nan,0.15934,0.14813,0.13664,0.13644,0.17198,0.17198,nan,0.16524,0.31071,nan,0.11885,nan,0.14226,nan,0.17853
1,9185061.862,392014.3176,0.20994,0.19258,0.20038,0.32963,0.19058,0.18329,0.19642,0.21943,0.15207,0.16476,0.1753,0.27702,nan,0.15829,0.2529,0.0927,0.1756,0.17659,0.19297,0.16425,0.18824,0.14543,0.14449,0.16004,0.20222,0.12785,0.12429,0.15441,0.15441,nan,nan,0.14575,nan,0.14036,nan,0.16892,0.18819,0.13227
1,9188948.456,379569.995,0.06556,0.0891,0.06342,0.11983,0.12004,0.06374,0.11535,0.06536,0.07189,0.07957,0.09067,0.10498,0.08307,0.04904,0.10167,0.08825,0.06823,0.07878,nan,0.07749,0.07367,0.06627,0.04985,0.10214,0.07091,0.06055,0.06276,0.06077,0.06077,0.06017,0.05623,nan,0.18105,0.07081,nan,0.10612,0.09715,0.15407
1,9176430.742,378828.6799,0.24756,0.27452,0.23021,0.31986,0.30873,0.26334,0.2565,0.28265,0.27084,0.22151,0.27634,0.30901,0.2368,0.26968,nan,0.2378,0.2529,0.2738,0.24924,0.25388,0.26655,0.26854,0.24316,0.26658,0.27289,0.23552,0.27377,0.29967,0.29967,0.30568,0.35328,0.30657,0.28117,0.28257,0.353,0.26854,0.31165,0.28422
1,9185042.109,387417.1539,0.09179,0.08753,0.07536,0.18374,0.06765,0.06812,0.08415,0.09187,0.0867,0.08468,0.0879,0.0976,nan,0.05537,0.10983,0.1428,0.06691,0.08938,nan,0.098,0.07552,0.08643,0.08628,0.09009,0.08142,0.07842,0.07842,0.09707,0.09707,0.10131,0.06673,0.25312,nan,0.08221,nan,0.11959,0.12939,0.16247
1,9188551.433,382803.3167,0.12979,0.14536,0.13177,0.26844,0.12587,0.11989,0.15268,0.11819,0.10691,0.10806,0.11969,0.15535,0.1475,0.10237,0.16591,0.18708,0.10964,0.12694,nan,nan,0.10247,0.09521,0.10154,0.10113,0.10785,0.08088,0.08088,0.10967,0.10967,0.13564,0.10289,nan,nan,0.11348,nan,0.11892,0.11067,0.12154
1,9186448.552,389832.5575,0.12016,0.11232,0.12092,0.22636,0.09577,0.11152,0.13251,0.19128,0.13943,0.15051,0.1344,0.13633,0.13121,0.18766,0.28621,0.0946,0.14261,0.14485,0.26324,nan,0.16528,0.124,0.10903,0.15544,0.12358,0.11919,0.1021,0.13903,0.13903,0.14108,0.15023,nan,nan,0.15606,nan,0.16259,0.13477,0.12761
1,9174595.51,381286.7479,0.09369,0.11425,0.09045,0.20952,0.08098,0.10498,0.0964,0.1002,0.10498,0.10762,0.11761,0.11119,nan,0.12619,0.11993,0.11891,0.0865,0.0999,0.12067,0.0794,0.09456,0.14077,0.07588,0.09929,0.08191,0.08281,0.08203,0.08072,0.08072,0.1389,0.11219,0.09165,nan,0.08547,0.13151,0.10841,nan,0.10651
1,9187855.774,386251.2524,0.07083,0.07772,nan,0.1404,0.20106,0.07687,0.10471,0.06833,0.052,0.07914,0.07338,0.10887,0.08606,0.06398,0.08333,nan,0.05596,0.07304,nan,0.0512,0.04407,0.0734,nan,0.06797,0.07162,0.05585,0.05585,0.06583,0.06583,nan,nan,nan,nan,0.09149,nan,0.09685,0.14947,0.09221
1,9169775.081,381938.1321,0.07219,0.08851,0.0595,0.15061,0.11523,0.0648,0.10463,0.06236,0.09459,0.08437,0.07847,0.09938,0.1889,nan,0.08674,0.11879,0.05464,0.08054,0.11737,0.07486,0.08742,0.06756,0.08291,0.08352,0.08267,0.06306,0.06306,0.0664,0.0664,0.09291,0.22211,0.09666,0.09731,0.07173,nan,0.08312,0.09031,0.08873
1,9171224.219,378865.0658,0.13278,0.15229,0.11598,0.14222,0.15919,0.15124,0.16756,0.14948,0.15845,0.15012,0.15128,0.19272,0.25901,0.17945,0.18826,0.18743,0.15537,0.15091,0.18593,0.16786,0.1506,0.14224,0.14979,0.22,0.13685,0.1245,0.14652,0.14852,0.14852,0.18116,0.14013,0.20303,0.12947,0.12957,0.20173,0.15802,0.14844,0.16307
1,9189161.265,379995.6128,0.111,0.1267,0.10396,0.16403,0.14512,0.10802,0.1207,0.09084,0.08601,0.09372,0.14955,0.09592,0.0769,0.05989,0.07309,0.07594,0.05668,0.07362,nan,0.05269,0.05178,0.05834,0.07013,0.07176,0.07778,0.06446,0.06211,0.05944,0.05944,0.06583,0.05761,0.08508,0.20848,0.08303,nan,0.103,0.07473,0.07828
1,9192021.975,376796.3608,0.13721,0.12948,0.15744,0.23589,0.18184,0.13657,0.14679,0.11354,0.11152,0.11388,0.1306,0.12844,0.17004,0.12886,nan,0.12514,0.11306,0.11542,nan,0.16357,0.09905,0.09366,0.15894,0.14957,0.1399,0.09693,0.11611,0.119,0.119,0.09336,0.213,nan,0.14528,0.13218,nan,0.14134,0.13989,0.11877
1,9203806.712,380912.3507,0.47445,0.37073,0.32021,nan,0.43243,0.27919,0.2671,0.54806,0.55056,0.22234,0.17554,0.41269,nan,0.46088,0.47441,0.07251,0.42528,0.40553,0.30607,nan,0.28591,0.26561,nan,0.50576,0.38806,0.20258,0.20258,0.59759,0.59759,0.28601,0.26732,nan,0.578,0.39184,nan,0.52796,nan,0.394
1,9185032.028,375835.2868,0.11217,0.11722,0.11821,0.16071,0.14118,0.11903,0.12598,0.11917,0.12118,0.09472,0.10751,0.11465,0.30002,0.10755,nan,0.12027,0.11012,0.12291,0.12452,0.15368,0.11001,0.08438,0.17169,0.17279,0.13963,0.10494,0.10494,0.14531,0.14531,0.17733,0.13847,0.22392,0.21189,0.17412,nan,0.21157,0.20548,0.162
1,9161299.105,367364.6256,0.15842,0.11983,0.10985,0.14278,0.1362,0.13763,0.13297,0.16735,0.10359,0.14805,0.12683,0.14054,0.17914,0.16571,0.19229,0.1132,0.13093,0.12694,nan,0.13238,0.12807,0.11936,nan,0.14619,0.13315,0.13334,0.14141,0.14555,0.14555,0.159,0.15236,0.16208,0.14952,0.17523,0.16762,0.15274,0.1798,0.13494
1,9162372.628,367714.7235,0.15317,0.15756,0.13938,0.21061,0.18182,0.18642,0.18769,0.24326,0.16127,0.11447,0.15772,0.20707,0.1636,0.14341,0.20832,0.1164,0.11679,0.14523,0.17428,0.16241,0.15064,0.1262,0.17323,0.18177,0.14948,0.11436,0.1748,0.14644,0.14644,0.16844,0.14566,0.21575,0.14531,0.15975,nan,0.1758,0.13354,0.1635
1,9165607.154,393187.9387,0.11117,0.14962,0.12793,0.18048,0.16304,0.11527,0.16417,0.11678,0.1096,0.15551,0.21697,0.19257,0.16604,0.15162,0.19375,0.10596,0.14651,0.12114,0.30344,0.15767,0.15363,0.12481,0.14053,0.16113,0.14193,0.10421,0.12722,0.10655,0.10655,0.16022,0.15583,0.20453,0.12677,0.0986,nan,0.15496,0.14687,0.10941
1,9163334.95,387787.107,0.20375,0.20862,0.20092,0.28077,0.21955,0.22421,0.20595,0.24438,0.25664,0.18399,0.2186,0.25178,0.28602,0.17567,nan,0.24916,0.18692,0.22294,nan,0.20948,0.22513,0.22265,nan,0.23418,0.2307,0.17191,0.17088,0.20571,0.20571,0.25678,nan,0.2176,0.20731,0.20196,0.25063,0.25632,nan,0.23035
1,9175290.205,370495.1341,0.15022,0.14205,0.17024,0.13291,0.15809,0.16376,0.14995,0.18769,0.1785,0.13487,0.1551,0.19289,0.20107,0.21705,0.22443,0.1193,0.12421,0.15591,0.13259,0.15819,0.17483,0.15842,nan,0.16705,0.15115,0.1641,0.1317,0.14106,0.14106,0.13542,0.17955,0.16695,0.13812,0.12902,0.16884,0.15029,0.15355,0.16811
1,9193250.589,384074.2526,0.30235,0.27485,0.16645,0.31499,nan,0.31068,0.26719,0.28118,0.16676,0.25892,0.23325,0.34812,nan,nan,nan,nan,0.18283,0.35143,nan,nan,0.19168,0.27097,nan,0.26594,0.25512,0.18811,0.16622,0.25731,0.25731,nan,0.28446,nan,nan,0.26532,nan,0.21597,nan,nan
1,9192878.277,380451.8922,0.09585,0.10907,0.11313,0.1802,0.18086,0.09462,0.12189,0.10799,0.09947,0.09497,0.10801,0.13642,0.14482,nan,nan,0.177,0.10743,0.11597,nan,0.10904,0.08965,0.10313,0.11699,0.15868,0.12795,0.0993,0.12318,0.10437,0.10437,0.1798,0.10673,nan,0.18651,0.11498,nan,0.11825,0.14219,nan
1,9185326.432,368362.1049,0.166,0.1631,0.16387,0.16853,0.29184,0.15839,0.19906,0.16268,0.1725,0.15168,0.17375,0.18801,0.20971,0.17317,nan,0.16273,0.14647,0.16066,0.15138,0.14345,0.15423,0.12709,nan,0.14989,0.15867,0.13555,0.13,0.16027,0.16027,0.1489,0.16734,0.19131,0.18362,0.15291,0.24982,0.17611,0.16504,0.18266
1,9191884.447,382894.6421,0.27839,0.31863,nan,0.20483,0.31932,0.22389,0.30565,0.25383,0.20692,0.21797,0.33335,0.17977,nan,nan,nan,nan,0.31286,0.26444,nan,nan,0.17609,0.20613,nan,nan,0.31778,0.20117,0.20117,0.20879,0.20879,0.35548,0.26379,nan,nan,0.18527,nan,0.2476,nan,nan
1,9172164.023,388571.2885,0.35508,0.22919,0.2633,0.32276,0.2962,0.30325,0.30136,0.36762,0.28093,0.26545,0.24616,0.32685,0.3905,0.38103,nan,0.31228,0.29622,0.29459,nan,0.29279,0.30094,0.26462,nan,0.36227,0.31667,0.22113,0.22113,0.2726,0.2726,0.31577,0.31822,nan,0.28428,0.24166,0.24688,0.23699,0.25103,0.22278
1,9172578.528,389023.0356,0.1705,0.21662,0.17447,0.18041,0.1937,0.17925,0.17891,0.16691,0.2113,0.16347,0.17513,0.26974,0.25229,0.21441,0.35468,0.16468,0.15933,0.18058,0.17141,0.15627,0.1462,0.14599,nan,0.17046,0.15597,0.12262,0.13811,0.14083,0.14083,0.1513,0.16402,0.41006,0.12044,0.1352,nan,0.14603,0.13287,0.14026
1,9186164.849,376769.7495,0.06987,0.07825,0.08056,0.121,0.06594,0.07229,0.09137,0.05876,0.07963,0.06244,0.06669,0.08354,0.08554,0.08132,nan,0.08785,0.05515,0.08087,0.07974,0.02919,0.05695,0.0792,0.16937,0.0694,0.07456,0.06037,0.06037,0.05696,0.05696,0.07312,0.12493,0.07319,0.07786,0.05405,nan,0.0745,0.0788,0.07689
1,9187176.497,377073.5378,0.12965,0.14557,0.10453,0.27839,0.09919,0.11136,0.13466,0.12716,0.13153,0.12163,0.1211,0.15188,0.16065,nan,nan,0.11817,0.1303,0.13613,0.14968,0.13653,0.13533,0.12052,0.13072,0.12554,0.11923,0.10642,0.10642,0.11379,0.11379,0.12788,0.10961,0.18481,0.1654,0.1136,nan,0.13236,0.14672,0.13843
1,9169637.953,386458.9994,0.21171,0.21341,0.23245,0.27767,0.23158,0.22164,0.23246,0.23894,0.27617,0.1962,0.20984,0.25409,0.20074,0.25675,nan,0.21626,0.18229,0.19173,0.24452,0.18343,0.20694,0.21206,nan,0.33187,0.22315,0.18913,0.22429,0.20218,0.20218,0.17481,0.20637,0.23751,0.19729,0.20545,0.2305,0.23345,nan,0.23684
